Category,Subcategory,Title,Brend,Country,Url of Product
Молочные продукты и яйца,Йогурт,Йогурт 2.5% из козьего молока Zeren ст 200мл,Zeren,KZ,/product/710535169287-kz-yogurt-iz-kozego-moloka-25
Молочные продукты и яйца,Йогурт,Йогурт 4% из козьего молока Zeren п/бут 300мл,Zeren,KZ,/product/710535169089-kz-yogurt-iz-kozego-moloka-35
Молочные продукты и яйца,Йогурт,Йогурт 4% из козьего молока Клубника Zeren п/бут 300мл,Zeren,KZ,/product/710535169225-kz-yogurt-klubnichnyy-iz-kozego-moloka-35
Молочные продукты и яйца,Йогурт,Йогурт 3% Турецкий Kokshe ст 360г,Kokshe,KZ,/product/4870235430011-kz-yogurt-tureckiy-30-036kg-pst
Молочные продукты и яйца,Йогурт,Йогурт 1.5% Клубника-малина Nәtige т/п 450г,Nәtige,KZ,/product/4870003751300-kz-yogurt-0450kg-15-zhirn-klubnika
Молочные продукты и яйца,Йогурт,Йогурт 1.5% Персик-абрикос Nәtige т/п 450г,Nәtige,KZ,/product/4870003751331-kz-yogurt-0450kg-15-zhirn-persik
Молочные продукты и яйца,Йогурт,Биойогурт 2.9% Виноград-манго-папайя-чиа Активиа ст 150г,Активиа,RU,/product/4600605026816-kz-bioyogurt-aktivia-vinogradmangopapayyachia-bsahara-150gr-stak
Молочные продукты и яйца,Йогурт,Йогурт 2.5% Черника-овсянка-орехи Danone п/бут 270г,Danone,KZ,/product/4870206414903-kz-yogurt-danone-zhivoy-chernikaovsyankaorehi-270gr-pb
Молочные продукты и яйца,Йогурт,Биойогурт 1.6% Малина-семена льна-киноа Bio Max п/бут 270г,Bio Max,RU,/product/4690228036217-kz-bioyogurt-bio-max-malinasemena-lnakinoa-16-270gr-pb
Молочные продукты и яйца,Йогурт,Биойогурт 1.5% Яблоко-злаки Bio Max п/бут 270г,Bio Max,RU,/product/4690228036101-kz-bioyogurt-bio-max-yablzlaki-15-270gr-pb
Молочные продукты и яйца,Йогурт,Биойогурт 1.6% Мюсли-5 злаков Bio Max п/бут 270г,Bio Max,RU,/product/4690228036132-kz-bioyogurt-bio-max-myusli5-zlakov-16-270gr-pb
